FAILURE,YEAR_CONSTRUCTION,YEAR_ACTIVE,AGE,CABLE_COX1,CABLE_COX2,COX1==COX2,CONSTRUCTION_ORIG,CONSTRUCTION_EXP,CONSTRUCTION_COX,GROUND_TYPE,SUBSIDENCE,DEWATERING_DEPTH_CM
False,1966.0,1966.0,52.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,"Bebouwing, enz",1,-5.0
False,2015.0,2015.0,3.0,GPLK_NA_1978,XLPE,False,Krimpmof Raychem,Krimpmof,Krimpmof,Veen,1,-1.5
False,1993.0,1993.0,25.0,GPLK_NA_1978,,False,Kabeldon,Kabeldon,Kabeldon,Zand,0,-0.99999999
False,1990.0,1990.0,28.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-2.0
False,1916.0,1916.0,102.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,"Bebouwing, enz",1,0.0
False,1985.0,,33.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Lovinolmof,LOVINOL_5,"Bebouwing, enz",1,-4.0
False,1973.0,,45.0,GPLK_VOOR_1978,,False,Onbekend,Oliemof,Oliemof,"Bebouwing, enz",0,0.5
True,2007.0,2007.0,6.0,,,False,Onbekend,Kunststofmof,Krimpmof,Veen,1,0.0
True,2004.0,2004.0,6.0,,GPLK_NA_1978,False,Kunststofmof Raychem,Kunststofmof,Krimpmof,"Bebouwing, enz",0,0.0
False,2017.0,2017.0,1.0,Overig,GPLK_NA_1978,False,Onbekend,Krimpmof,Krimpmof,"Bebouwing, enz",0,-1.5
False,2011.0,2011.0,7.0,,,False,Krimpmof Raychem,Krimpmof,Krimpmof,Lichte zavel,1,-1.49999999
False,2014.0,2014.0,4.0,,,False,Kunststofmof Raychem,Kunststofmof,Krimpmof,Zware zavel,0,-3.0
False,1967.0,1967.0,51.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-2.49999999
True,2008.0,,0.0,XLPE,,False,Onbekend,Krimpmof,Krimpmof,"Bebouwing, enz",0,-0.99999999
False,2011.0,2011.0,7.0,,XLPE,False,Krimpmof Raychem,Krimpmof,Krimpmof,Zware zavel,0,0.0
True,2002.0,2002.0,14.0,,,False,Onbekend,Onbekend,Onbekend,Zware zavel,0,-0.5
